musteri_kodu,unvan,adres,sehir,ilce,lat,lon,rut_kod,rut_aciklama,ziyaret_sira,son_teslimat_tarihi,toplam_teslimat_sayisi,toplam_agirlik,toplam_tutar,durum,musteri_grubu,bolge_grubu,geocode_kaynak,geocode_hassasiyet,satis_temsilcileri,telefon,posta_kodu,ilk_teslimat_tarihi,son_teslimattan_gecen_gun
100000990,ÇARŞI VETERİNER KLİNİĞİ / NAZİLLİ,ALTINTAŞ MAHALLESI MİMAR SİNAN CADDESİ NO:/18A,AYDIN,NAZİLLİ,37.9177089,28.3266803,666,DERYA YAYLA PAZARTESİ,29,,0,0.0,0.0,Aktif,200 - VETERİNER,cekirdek,nominatim_mahalle,mahalle_merkezi,DERYA YAYLA,5425883225,34000,,
100000997,KOCA MEHMET TARIM SANAYİ LDT.ŞTİ,DOĞU MAH.EŞREF OZAN CAD NO:1B/B,AYDIN,YENİPAZAR,37.8232925,28.1957304,666,DERYA YAYLA PAZARTESİ,30,2026-01-05,1,1160.0,56066.35,Aktif,202 - YEM TOPTAN,cekirdek,nominatim_ilce,ilce_merkezi,DERYA YAYLA,5425959201,34000,2026-01-05,200
100001010,AFACANLAR PET SHOP/ENGİN AFACAN,YENİCAMİ MAHALLESİ KOCAIYIK SOKAK NO.8/C,AYDIN,SÖKE,37.7505067,27.4062931,666,DERYA YAYLA PAZARTESİ,31,,0,0.0,0.0,Aktif,201 - PETSHOP,cekirdek,erp,saha_gps,DERYA YAYLA,5432062976,34000,,
100001035,ŞİRİN PET SHOP,CUMHURİYET MAH ATATÜRK BUL NO:69 EFELER/AYDIN,AYDIN,,37.8515644,27.8413866,666,DERYA YAYLA PAZARTESİ,32,2026-04-27,3,836.0,69683.0,Aktif,201 - PETSHOP,cekirdek,erp,saha_gps,DERYA YAYLA,5517335050,34000,2025-12-22,88
100001092,ŞEVVAL CEREN SOMYÜREK,DAVUTLAR MAH NAMIK KEMAL CAD ÇETİN APT.NO:34 A DAVUTLAR MAH NAMIK KEMAL CAD ÇETİN APT.NO:34 A,AYDIN,KUŞADASI,37.7333424,27.2999557,666,DERYA YAYLA PAZARTESİ,35,2026-01-29,1,64.0,4237.19,Aktif,202 - YEM TOPTAN,cekirdek,erp,saha_gps,DERYA YAYLA,5013774239,34000,2026-01-29,176
100001118,MASAL PETSHOP / KADİR AYDINOĞLU,CUMHURİYET MAH.439 SK.ABC BLOK NO:2/A,AYDIN,İNCİRLİOVA,37.8501038,27.7301545,666,DERYA YAYLA PAZARTESİ,37,2026-01-31,1,360.0,23242.08,Aktif,201 - PETSHOP,cekirdek,erp,saha_gps,DERYA YAYLA,5426064046,,2026-01-31,174
100001197,EGE YEM PET MARKET,TEPECİK MAH ŞEHİT PİYADE ER MEHMET ALİ TOSUN BULVA TEPECİK MAH ŞEHİT PİYADE ER MEHMET ALİ TOSUN BULVARİ NO 97 A,AYDIN,,37.824401,27.872248,666,DERYA YAYLA PAZARTESİ,40,2026-05-11,1,150.0,8166.28,Aktif,201 - PETSHOP,cekirdek,erp,saha_gps,DERYA YAYLA,5535386109,,2026-05-11,74
100001199,ÖZDEMİR YEM / MEHMET ÖZDEMİR,YENİ MAH ALB. İBRAHİM KARAOĞLANOĞLU CAD. NO 47 A YENİ MAH ALB. İBRAHİM KARAOĞLANOĞLU CAD. NO 47,AYDIN,NAZİLLİ,37.915479,28.317739,666,DERYA YAYLA PAZARTESİ,42,2026-05-11,1,165.0,7740.0,Aktif,201 - PETSHOP,cekirdek,erp,saha_gps,DERYA YAYLA,5326758795,,2026-05-11,74
100001210,DUYGU PETSHOP & DUYGU SARAÇOĞLU,KÖPRÜLÜ VEYSİPAŞA MAH BATİ GAZİ BLV NO :64 B KÖPRÜLÜ VEYSİPAŞA MAH BATİ GAZİ BLV NO :64 B,AYDIN,,38.285336,27.140123,666,DERYA YAYLA PAZARTESİ,43,2026-06-03,1,132.0,22089.43,Aktif,201 - PETSHOP,cekirdek,erp,saha_gps,DERYA YAYLA,5441859657,,2026-06-03,51
100001232,YENİAY PETSHOP,turan MAH namık kemal cad no:12/c turan MAH namık kemal cad no:12/c,AYDIN,NAZİLLİ,37.857577,27.263734,666,DERYA YAYLA PAZARTESİ,47,,0,0.0,0.0,Aktif,201 - PETSHOP,cekirdek,erp,saha_gps,DERYA YAYLA,5444958984,,,
100000343,OSMAN ERBAY AKVARYUM,Yeni Mah. Albay İbrahim Karayılan Cad. No:65/B Nazilli Aydın Yeni Mah. Albay İbrahim Karayılan Cad. No:65/B Nazilli Aydın,AYDIN,NAZİLLİ,37.9212493,28.3274044,668,DERYA YAYLA SALI,8,2026-05-11,1,90.0,5751.29,Aktif,201 - PETSHOP,cekirdek,erp,saha_gps,DERYA YAYLA,5356302295,34000,2026-05-11,74
100000361,MUZAFFER CEYLAN,EFEELER MAH.2253 SK.NO:1/A EFEELR-AYDIN EFEELER MAH.2253 SK.NO:1/A EFEELR-AYDIN,AYDIN,DİDİM,37.3696865,27.2684841,668,DERYA YAYLA SALI,9,2026-06-03,2,295.0,9754.73,Aktif,200 - VETERİNER,cekirdek,nominatim_ilce,ilce_merkezi,DERYA YAYLA,5332546794,34000,2026-05-11,51
100000377,IRFAN ALTINOK,KONAK MAH YILDIRIM SOK GÖKTEPE PASAJI NO:1 İÇ KAPI NO C SÖKE AYDIN SÖKE AYDIN,AYDIN,SÖKE,37.7526086,27.404954,668,DERYA YAYLA SALI,10,2026-06-23,2,510.0,40369.79,Aktif,201 - PETSHOP,cekirdek,erp,saha_gps,DERYA YAYLA,5438283819,34000,2025-12-22,31
100000390,ÖMER OZAN,İSABEYLİ MAH FATİH SULTAN MEHMET CAD NO:26/1A NAZİLLİ AYDIN,AYDIN,NAZİLLİ,37.9140609,28.3270857,668,DERYA YAYLA SALI,11,,0,0.0,0.0,Aktif,201 - PETSHOP,cekirdek,nominatim_ilce,ilce_merkezi,DERYA YAYLA,5557613653,34000,,
100000799,ARSLAN KARDEŞLER CANLI SÜS HAYVANLARI İTH. İHR. SAN. VE TİC. LTD. ŞTİ,YENİ MAH. 823SK. PURGAÇ APT. NO:7A,AYDIN,DİDİM,37.3750495,27.2668197,668,DERYA YAYLA SALI,20,2026-07-15,4,1070.0,109678.72,Aktif,201 - PETSHOP,cekirdek,erp,saha_gps,DERYA YAYLA,5427112104,34000,2026-01-12,9
100000817,GİRNE PET MARKET MURAT UÇKUN,GİRNE MAH. LEFKOŞE BLV. NO:38/A EFELER,AYDIN,,37.85226,27.8267967,668,DERYA YAYLA SALI,21,2026-06-23,2,126.0,23051.95,Aktif,201 - PETSHOP,cekirdek,erp,saha_gps,DERYA YAYLA,5445625459,34000,2026-01-12,31
100000917,ELTA-VET VETERİNER KLİNİĞİ,KEMER MAH. 1838SK. NO:1/C EFELER,AYDIN,,37.8596708,27.8266154,668,DERYA YAYLA SALI,24,,0,0.0,0.0,Aktif,200 - VETERİNER,cekirdek,nominatim_mahalle,mahalle_merkezi,DERYA YAYLA,5071537571,34000,,
100000961,URAS PET STORE DİDEM SAĞLAM PARLAK,EFELER MAH. KÖROĞLU CAD. NO:5 C,AYDIN,,37.843097,27.8255183,668,DERYA YAYLA SALI,26,,0,0.0,0.0,Aktif,201 - PETSHOP,cekirdek,nominatim_mahalle,mahalle_merkezi,DERYA YAYLA,5536004371,34000,,
100000970,ÇAKALOĞLU YUMURTA CANER ÇAKALOĞLU,CAMİKEBİR MAH. KURTULUŞ CAD. NO:64 GERMENCİK,AYDIN,GERMENCİK,37.8708052,27.6029134,668,DERYA YAYLA SALI,27,,0,0.0,0.0,Aktif,202 - YEM TOPTAN,cekirdek,nominatim_mahalle,mahalle_merkezi,DERYA YAYLA,5424375715,34000,,
100000991,CANDOSTLAR PET SHOP /FULYA ÇAPKAN,YENİ MAHALLE ORDU CADDEDİ YENİPAZARLI APT NO:3 Ç D,AYDIN,NAZİLLİ,38.3187182,27.129172,668,DERYA YAYLA SALI,28,2025-12-22,2,408.0,20074.39,Aktif,201 - PETSHOP,cekirdek,erp,saha_gps,DERYA YAYLA,5303825242,34000,2025-12-22,214
100000999,HURİYE AKKAŞ EVCİL X PETSHOP,ATATÜRK MAH. AYDIN CD. NO:114/B SÖKE,AYDIN,SÖKE,37.7484713,27.4050865,668,DERYA YAYLA SALI,29,2026-04-13,1,165.0,21927.79,Aktif,201 - PETSHOP,cekirdek,erp,saha_gps,DERYA YAYLA,5555555555,34000,2026-04-13,102
100001018,ÖNER PET HOUSE/FİKRET ÖNER,KURTULUŞ MAHALLESİ ATATÜRK BULVARI.NO:77A,AYDIN,NAZİLLİ,37.9187183,28.33455,668,DERYA YAYLA SALI,30,2026-02-28,2,7920.0,321558.79,Aktif,201 - PETSHOP,cekirdek,erp,saha_gps,DERYA YAYLA,5052665915,34000,2025-12-22,146
100001048,KİREZ TİCARET/AHMET KİREZ,YENİ CAMİ MAH.ŞAKİR AKAY SK.NO:6 A SÖKE,AYDIN,SÖKE,37.7510029,27.4084948,668,DERYA YAYLA SALI,31,2026-06-03,4,1617.0,103493.75,Aktif,202 - YEM TOPTAN,cekirdek,erp,saha_gps,DERYA YAYLA,5054717206,34000,2026-01-12,51
100001073,AZYGOS VETERİNERLİK,EFELER MH 1412 SK MİLETUS APT NO:2 İÇ KAPI NO:1,AYDIN,DİDİM,37.3696865,27.2684841,668,DERYA YAYLA SALI,32,2025-12-26,1,2088.0,38397.28,Aktif,200 - VETERİNER,cekirdek,nominatim_ilce,ilce_merkezi,DERYA YAYLA,5301478274,34000,2025-12-26,210
100001119,ARDA VET / VETERİNER HEKİM,ALTINTAŞ MAH.139 SK.NO:66/C,AYDIN,NAZİLLİ,37.9177089,28.3266803,668,DERYA YAYLA SALI,35,,0,0.0,0.0,Aktif,200 - VETERİNER,cekirdek,nominatim_mahalle,mahalle_merkezi,DERYA YAYLA,5449506688,,,
100000345,ASAN YERLI ÜR.SAN.VE TIC.LTD.STI,YENI MAH.DEVLET YOLU ÜZERI NO:10,AYDIN,NAZİLLİ,37.9041472,28.3116458,670,DERYA YAYLA ÇARŞAMBA,8,,0,0.0,0.0,Aktif,201 - PETSHOP,cekirdek,nominatim_mahalle,mahalle_merkezi,DERYA YAYLA,5323632407,34000,,
100000366,GÜLHAN TASDEMIR BEREKET YEM,HACI FEYZULLAH MH.İNÖNÜ BULV. H BLOK NO:96 KUŞADASI-AYDIN KUŞADASI-AYDIN,AYDIN,KUŞADASI,37.8529293,27.2607146,670,DERYA YAYLA ÇARŞAMBA,9,2026-05-11,2,720.0,45701.21,Aktif,201 - PETSHOP,cekirdek,erp,saha_gps,DERYA YAYLA,5314203300,34000,2026-02-28,74
100000382,MUSTAFA ÖZKAYA,İKİÇEŞMELİK MAH AYDIN BULV NO:32A İÇ KAPI NO A KUŞADASI AYDIN,AYDIN,KUŞADASI,37.8632398,27.266873,670,DERYA YAYLA ÇARŞAMBA,10,,0,0.0,0.0,Aktif,201 - PETSHOP,cekirdek,nominatim_ilce,ilce_merkezi,DERYA YAYLA,5428158228,34000,,
100000391,ŞEYMA İTKÜ,YENİ MAH ALB İBRAHİM KARAOĞLANOĞLU CAD NO 63C NAZİLLİ AYDIN,AYDIN,NAZİLLİ,37.9041472,28.3116458,670,DERYA YAYLA ÇARŞAMBA,11,,0,0.0,0.0,Aktif,201 - PETSHOP,cekirdek,nominatim_mahalle,mahalle_merkezi,DERYA YAYLA,5445260388,34000,,
100000538,EVCİLX2 PETSHOP DERYA KAYA,CUMHURİYET MAH. ALBAYRAK CD. NO:100/A SÖKE,AYDIN,SÖKE,37.7444727,27.4069384,670,DERYA YAYLA ÇARŞAMBA,13,,0,0.0,0.0,Aktif,201 - PETSHOP,cekirdek,nominatim_mahalle,mahalle_merkezi,DERYA YAYLA,5436255123,34000,,
100000634,TAŞDEMİR PETSHOP AYTEKİN EFEKAN TAŞDEMİR,CUMHURİYET MH. İNÖNÜ CD. NO:158A KUYUCAK AYDIN,AYDIN,KUYUCAK,37.9097685,28.4596723,670,DERYA YAYLA ÇARŞAMBA,15,,0,0.0,0.0,Aktif,201 - PETSHOP,cekirdek,nominatim_ilce,ilce_merkezi,DERYA YAYLA,5436085152,34000,,
100000684,OCEAN PETSHOP & OLTA VE BALIK MALZEMELERİ,DAVUTLAR MAH. ÇOBAN SK. ÇOBAN APT. 11/A KUŞADASI,AYDIN,KUŞADASI,37.7334505,27.2895326,670,DERYA YAYLA ÇARŞAMBA,16,2025-12-22,1,1485.0,111366.76,Aktif,201 - PETSHOP,cekirdek,erp,saha_gps,DERYA YAYLA,5534219797,34000,2025-12-22,214
100000775,KOÇAK PETSHOP FERDİ KOÇAK,AYDOĞDU MAH. MİTHATPAŞA CD. NO:96/A,AYDIN,NAZİLLİ,37.9210926,28.3276166,670,DERYA YAYLA ÇARŞAMBA,19,2026-05-12,3,2520.0,122147.03,Aktif,201 - PETSHOP,cekirdek,erp,saha_gps,DERYA YAYLA,5415874774,34000,2025-12-22,73
100000804,ŞANSIM PET SHOP ELİF ÇINAR,CUMHURİYET MH. MUSTAFA VARAN SK. TROPİKANA APT. NO:6A,AYDIN,KUŞADASI,37.8592257,27.2631947,670,DERYA YAYLA ÇARŞAMBA,20,2026-05-06,2,360.0,32435.15,Aktif,201 - PETSHOP,cekirdek,erp,saha_gps,DERYA YAYLA,5065575412,34000,2025-12-22,79
100000818,EYLÜL PETSHOP YASEMİN ÇAKMAK,CUMHURİYET MAHALLESİ 1959 SK. NO:28/A EFELER,AYDIN,,37.848015,27.8512667,670,DERYA YAYLA ÇARŞAMBA,21,2026-06-09,7,3608.0,288292.24,Aktif,201 - PETSHOP,cekirdek,erp,saha_gps,DERYA YAYLA,5558894809,34000,2025-12-22,45
100000858,PUKİ PETSHOP EMİNE SEVKULAK,GÜZELÇAMLI MAH. ÖZERTÜRK CD. TİMUR SIĞIRTMAÇ NO:17/1A,AYDIN,KUŞADASI,37.7137666,27.2235907,670,DERYA YAYLA ÇARŞAMBA,23,2026-05-06,3,274.0,26869.24,Aktif,201 - PETSHOP,cekirdek,erp,saha_gps,DERYA YAYLA,5363321517,34000,2025-12-22,79
100000971,ÖZER AV KARA DENİZ MALZEMELERİ MÜCAHİT EMRE ÖZER,HASANEFENDİ-RAMAZAN PAŞA MAH. 13SK. NO:27K EFELER,AYDIN,,37.8493533,27.839912,670,DERYA YAYLA ÇARŞAMBA,28,,0,0.0,0.0,Aktif,201 - PETSHOP,cekirdek,nominatim_mahalle,mahalle_merkezi,DERYA YAYLA,5549879909,34000,,
100000992,VETERİNER HEKİM MUSTAFA ESEN,GİRNE MAH TAŞLIBOĞAZ BUL TRALLES PARK SİTESİ B BLK,AYDIN,,37.8524363,27.8230317,670,DERYA YAYLA ÇARŞAMBA,29,,0,0.0,0.0,Aktif,200 - VETERİNER,cekirdek,nominatim_mahalle,mahalle_merkezi,DERYA YAYLA,5077509613,34000,,
100001021,TRENDY PET SHOP/ONUR DALKILIÇ,CUMHURİYET MAHALLESİ KUBİLAY BAYRAMOĞLU SOK NO:5B,AYDIN,KUŞADASI,37.8586224,27.263462,670,DERYA YAYLA ÇARŞAMBA,31,2026-05-20,2,255.0,22502.05,Aktif,201 - PETSHOP,cekirdek,erp,saha_gps,DERYA YAYLA,5532261819,34000,2026-05-06,65
100001039,DOĞAN SEVİNÇ/MAMA,CAMİKEBİR MAH.İSMET İNÖNÜ BUL ALANLI PASAJI NO:52F,AYDIN,KUŞADASI,37.8601484,27.258255,670,DERYA YAYLA ÇARŞAMBA,32,,0,0.0,0.0,Aktif,201 - PETSHOP,cekirdek,nominatim_mahalle,mahalle_merkezi,DERYA YAYLA,1111111111,34000,,
100001080,MİNİŞ PET SHOP/TACETTİN TOKER,CUMHURİYET MAH.425 SK.NO.6A AYDIN / ÇİNE,AYDIN,ÇİNE,37.6157442,28.0548441,670,DERYA YAYLA ÇARŞAMBA,34,2025-12-26,1,267.0,6666.0,Aktif,201 - PETSHOP,cekirdek,nominatim_mahalle,mahalle_merkezi,DERYA YAYLA,5433115589,34000,2025-12-26,210
100001120,DOST VETERİNER / SEYFULLAH ZEYREK,KADINLAR DENİZİ MAH. KADINLAR DENİZİ CAD. TATİLYA SİTESİ NO:1/3B,AYDIN,KUŞADASI,37.8521021,27.2502946,670,DERYA YAYLA ÇARŞAMBA,37,2026-01-31,1,68.0,4659.44,Aktif,200 - VETERİNER,cekirdek,erp,saha_gps,DERYA YAYLA,5074496051,,2026-01-31,174
100001146,GÜLKA SU VE İÇECEK MAD. GIDA TUR. OTOM. SAN. VE TİC. LTD. ŞTİ,ATA MAH. FIRINCILAR SİT. GIDACILAR BULV. NO:6-7 EFELER AYDIN,AYDIN,,37.839359,27.8543791,670,DERYA YAYLA ÇARŞAMBA,38,2026-03-11,3,1922.0,114844.36,Aktif,202 - YEM TOPTAN,cekirdek,nominatim_mahalle,mahalle_merkezi,DERYA YAYLA,2562310544,,2026-02-28,135
100001213,ADALI PETSHOP / MESUT YALÇINKAYA,CUMHURİYET MAH.BİRLİK SOK NO:4 CUMHURİYET MAH.BİRLİK SOK NO:4,AYDIN,KUŞADASI,37.869176,27.27481,670,DERYA YAYLA ÇARŞAMBA,41,2026-06-03,1,165.0,11160.0,Aktif,201 - PETSHOP,cekirdek,erp,saha_gps,DERYA YAYLA,5425943535,,2026-06-03,51
100001212,ULUS MARKET /ŞÜKRÜ ULUS,GÜZELÇAMLI MAH.ANAFARTALAR CAD.NO41-A GÜZELÇAMLI MAH.ANAFARTALAR CAD.NO41-A,AYDIN,KUŞADASI,37.858651,27.263179,670,DERYA YAYLA ÇARŞAMBA,42,2026-06-03,1,238.0,17630.03,Aktif,204 - ULUSAL KANAL,cekirdek,erp,saha_gps,DERYA YAYLA,5423275680,,2026-06-03,51
100000346,SERKAN DILIK,EFELER MAH. ATATÜRK BULV. ÖMÜREVLER B NO:78 A EFELER-AYDIN,AYDIN,DİDİM,37.3744424,27.2639354,672,DERYA YAYLA PERŞEMBE,8,,0,0.0,0.0,Aktif,201 - PETSHOP,cekirdek,nominatim_mahalle,mahalle_merkezi,DERYA YAYLA,5398241309,34000,,
100000368,ZEKI PEKTAS,ATA MAH. DOĞU CEVRE BULV. NO:78 İÇ KAPI NO:1 EFELER-AYDIN EFELER-AYDIN,AYDIN,DİDİM,37.8330018,27.8571992,672,DERYA YAYLA PERŞEMBE,9,2026-05-11,2,435.0,34093.66,Aktif,201 - PETSHOP,cekirdek,erp,saha_gps,DERYA YAYLA,5071194590,34000,2026-02-28,74
100000383,ZEYBEK VETERINERLIK MEDIKAL SANAYI VE TICARET LTD STI,TEPECİK MAH 902 SOK B BLOK NO:1/13 EFELER AYDIN,AYDIN,DİDİM,37.3696865,27.2684841,672,DERYA YAYLA PERŞEMBE,10,,0,0.0,0.0,Aktif,200 - VETERİNER,cekirdek,nominatim_ilce,ilce_merkezi,DERYA YAYLA,5335426887,34000,,
100000541,FİDAN TARIM MEHMET FİDAN,ÇELTİKÇİ MAH. ALBAYRAK CAD. NO:193/B SÖKE,AYDIN,SÖKE,37.7490932,27.404906,672,DERYA YAYLA PERŞEMBE,13,,0,0.0,0.0,Aktif,202 - YEM TOPTAN,cekirdek,nominatim_mahalle,mahalle_merkezi,DERYA YAYLA,5058025411,34000,,
100000784,ZUZU PETSHOP GÜLÇİN ÖNGÖREN,YENİCAMİ MH. BAĞARASI CD. NO:26/B,AYDIN,SÖKE,37.750412,27.4124777,672,DERYA YAYLA PERŞEMBE,18,2026-07-14,8,2067.0,131928.77,Aktif,201 - PETSHOP,cekirdek,erp,saha_gps,DERYA YAYLA,5448450724,34000,2026-01-05,10
100000806,KUŞÇU AMCA EV HAYVANLARI VE YEMLERİ TİC,H. ABAT MH. ATATÜRK CD. NO:102/A ÇİNE,AYDIN,ÇİNE,37.6124716,28.0623096,672,DERYA YAYLA PERŞEMBE,19,2026-01-28,2,2275.0,125922.09,Aktif,201 - PETSHOP,cekirdek,nominatim_ilce,ilce_merkezi,DERYA YAYLA,5077260117,34000,2025-12-12,177
100000819,OVA YEM TARIM VE HAYVANCILIK ÜRÜNLERİ EMİNE YILDIRIM,ZAFER MAH. HÜRRİYET CAD. NO:148B,AYDIN,NAZİLLİ,37.9186282,28.3248762,672,DERYA YAYLA PERŞEMBE,20,2026-05-11,1,110.0,18281.84,Aktif,201 - PETSHOP,cekirdek,erp,saha_gps,DERYA YAYLA,5372783669,34000,2026-05-11,74
100000963,BEREKET MARKET GIDA TEMİZLİK ZÜCCACİYE VE AV MALZEMELERİ TEVFİK BERBEROĞLU,UMURLU ÇARŞI MAH. KUMALANI CAD. NO:9,AYDIN,,37.8492963,27.9587709,672,DERYA YAYLA PERŞEMBE,26,2026-06-09,3,5670.0,325238.4,Aktif,202 - YEM TOPTAN,cekirdek,erp,saha_gps,DERYA YAYLA,5327146754,34000,2025-12-22,45
100000972,MAVİ DÜŞ AKVARYUM VE PETSHOP DÜNYASI SABRİ VOLKAN AR,AKBÜK MAH.5875 CAD.NO:1/I DİDİM AYDIN / DİDİM,AYDIN,DİDİM,37.4103078,27.373853,672,DERYA YAYLA PERŞEMBE,27,2026-01-12,1,279.0,18023.63,Aktif,201 - PETSHOP,cekirdek,nominatim_mahalle,mahalle_merkezi,DERYA YAYLA,5555555555,34000,2026-01-12,193
100001002,LAVİNYA VETERİNER KLİNİĞİ/SALİH AKDAĞ,EFELER MAHALLESİ.GİRNE BULVARI NO:82A EFELER/AYDIN,AYDIN,,37.843097,27.8255183,672,DERYA YAYLA PERŞEMBE,29,2026-03-23,1,261.0,6345.84,Aktif,200 - VETERİNER,cekirdek,nominatim_mahalle,mahalle_merkezi,DERYA YAYLA,5447100909,34000,2026-03-23,123
100001029,OĞUZ DEMİR/TREND PET SHOP,ALTINTAŞ MH KIBRIS CAD NO:28/A NAZİLLİ,AYDIN,NAZİLLİ,37.9140609,28.3270857,672,DERYA YAYLA PERŞEMBE,30,,0,0.0,0.0,Aktif,201 - PETSHOP,cekirdek,nominatim_ilce,ilce_merkezi,DERYA YAYLA,5449356761,34000,,
100001040,BİLGE ŞİMŞEK/MONALİMO,TÜRKMEN MAH CANDAN TARHAN BLV 92/A,AYDIN,KUŞADASI,37.8631928,27.263301,672,DERYA YAYLA PERŞEMBE,31,,0,0.0,0.0,Aktif,201 - PETSHOP,cekirdek,nominatim_mahalle,mahalle_merkezi,DERYA YAYLA,5059151998,34000,,
100001063,HAYDAR ŞEN CANLI HAYVAN ALIM SATIMI,KURTULUŞ MH YAHYA ÜMİT ORBAY CD.NO.47 İNCİRLİOVA,AYDIN,İNCİRLİOVA,37.8568566,27.7244608,672,DERYA YAYLA PERŞEMBE,32,2026-06-09,2,345.0,18195.98,Aktif,202 - YEM TOPTAN,cekirdek,erp,saha_gps,DERYA YAYLA,5551430943,34000,2025-12-22,45
100001083,TÜRKAY HENKOĞLU,DAVUTLAR MAH.UYSAL SOK.NO:13F/KUŞADASI,AYDIN,KUŞADASI,37.7330284,27.2944185,672,DERYA YAYLA PERŞEMBE,33,2025-12-30,1,119.0,7132.19,Aktif,203 - ÇİFTLİK/BARINAK,cekirdek,nominatim_mahalle,mahalle_merkezi,DERYA YAYLA,5446206408,34000,2025-12-30,206
100001123,KARDAŞ PETSHOP / FERHAT KARDAŞ,ÇEŞTEPE MAH.ATATÜRK CAD.NO:7/1,AYDIN,,37.8264204,27.8484358,672,DERYA YAYLA PERŞEMBE,36,2026-04-16,2,183.0,9197.56,Aktif,202 - YEM TOPTAN,cekirdek,erp,saha_gps,DERYA YAYLA,5538235625,,2026-01-31,99
